minute_ts,utc,open,high,low,close,open_mcap,high_mcap,close_mcap,buy_sol,sell_sol,buy_usd,sell_usd,buy_count,sell_count,unique_buyers,return_1m,mcap_change_1m,return_5m,mcap_change_5m,return_10m,mcap_change_10m,return_30m,mcap_change_30m,return_60m,mcap_change_60m
1783672920,2026-07-10T08:42:00+00:00,2.885598319012e-06,2.885598319012e-06,2.885598319012e-06,2.885598319012e-06,2885.5983190119996,2885.5983190119996,2885.5983190119996,0,0.490521544,0,38.91307408552,0,1,0,-0.013687206282460784,-40.043868124000255,-0.016391327159922642,-48.08699577900006,-0.020453302167458554,-60.252374372000304,-0.020362404196748174,-59.9790367100004,-0.02165059683786341,-63.85747836000019
1783673040,2026-07-10T08:44:00+00:00,2.849022424332e-06,2.849022424332e-06,2.849022424332e-06,2.849022424332e-06,2849.022424332,2849.022424332,2849.022424332,0.049382715,0,3.9180246081,0,1,0,1,-0.012675324364800455,-36.57589467999969,-0.026722366603399883,-78.22292331800008,-0.03286937429295522,-96.828269052,-0.03277962848350768,-96.55493139000009,-0.03405149286505238,-100.43337303999988
1783673460,2026-07-10T08:51:00+00:00,2.852047369375e-06,2.852047369375e-06,2.852047369375e-06,2.852047369375e-06,2852.047369375,2852.047369375,2852.047369375,0,0.009022408,0,0.71574762664,0,1,0,0.0010617484148827128,3.024945043000116,0.0010617484148827128,3.024945043000116,-0.025155098625729178,-73.59481776099983,-0.03184252488412609,-93.80332400899988,-0.033025898568743495,-97.40842799699976
1783673640,2026-07-10T08:54:00+00:00,3.00780766091e-06,3.19637774781e-06,3.00780766091e-06,3.19637774781e-06,3007.8076609100003,3196.37774781,3196.37774781,2.1324815040000002,0,169.1057832672,0,2,0,2,0.12073094652367478,344.33037843500006,0.12192088082965635,347.3553234780002,0.12192088082965635,347.3553234780002,0.08504404347058436,250.52705442600018,0.08514473116817056,250.80039208800008
1783674420,2026-07-10T09:07:00+00:00,3.203738924841e-06,3.203738924841e-06,3.203738924841e-06,3.203738924841e-06,3203.738924841,3203.738924841,3203.738924841,0,0.110005884,0,8.70916583628,0,1,0,0.002302974683152881,7.361177030999897,0.002302974683152881,7.361177030999897,0.002302974683152881,7.361177030999897,0.09205268495855679,270.0536100500003,0.08764379201160777,258.161569119
1783675320,2026-07-10T09:22:00+00:00,3.176841405035e-06,3.176841405035e-06,3.176841405035e-06,3.176841405035e-06,3176.8414050349998,3176.8414050349998,3176.8414050349998,0,0.184413828,0,14.5963544862,0,1,0,-0.008395665326360824,-26.89751980600022,-0.008395665326360824,-26.89751980600022,-0.008395665326360824,-26.89751980600022,0.11388101023412367,324.79403565999974,0.078412226447788,230.99071165099986
1783675380,2026-07-10T09:23:00+00:00,3.16015845231e-06,3.16015845231e-06,3.16015845231e-06,3.16015845231e-06,3160.15845231,3160.15845231,3160.15845231,0,0.000288453,0,0.02282817042,0,1,0,-0.005251427628259586,-16.682952724999723,-0.013603003725767948,-43.58047253099994,-0.013603003725767948,-43.58047253099994,0.10803154472238652,308.111082935,0.07274902268716721,214.30775892600013
1783675560,2026-07-10T09:26:00+00:00,3.145279521019e-06,3.145279521019e-06,3.145279521019e-06,3.145279521019e-06,3145.279521019,3145.279521019,3145.279521019,0,0.164018695,0,12.97879933535,0,1,0,-0.004708286472193679,-14.878931290999844,-0.018247243359538534,-58.459403821999786,-0.018247243359538534,-58.459403821999786,-0.015986291615879833,-51.09822679099989,0.06769821297559009,199.4288276350003
1783676940,2026-07-10T09:49:00+00:00,3.135275125719e-06,3.135275125719e-06,3.135275125719e-06,3.135275125719e-06,3135.275125719,3135.275125719,3135.275125719,0,0.013136122,0,1.04130039094,0,1,0,-0.0031807650903977747,-10.004395300000397,-0.0031807650903977747,-10.004395300000397,-0.0031807650903977747,-10.004395300000397,-0.021369968255262273,-68.46379912200018,0.1004740078359041,286.2527013869999
1783677180,2026-07-10T09:53:00+00:00,2.96973825708e-06,2.96973825708e-06,2.96973825708e-06,2.96973825708e-06,2969.73825708,2969.73825708,2969.73825708,0,1.858335001,0,147.25446547924,0,1,0,-0.052798195374014534,-165.53686863899975,-0.055811021807730676,-175.54126393900015,-0.055811021807730676,-175.54126393900015,-0.06025653400094777,-190.42019523,0.04126540427369929,117.69088770500002
